exam_name,college_name,branch_name,category,gender,quota,round,opening_rank,closing_rank,year
JEE Main,NIT Warangal,CSE,OPEN,Gender-Neutral,HS,1,1291,3115,2023
JEE Main,NIT Warangal,CSE,OPEN,Gender-Neutral,OS,1,889,2413,2023
JEE Main,NIT Warangal,CSE,GEN-EWS,Gender-Neutral,HS,1,353,466,2023
JEE Main,NIT Warangal,CSE,GEN-EWS,Gender-Neutral,OS,1,238,348,2023
JEE Main,NIT Warangal,CSE,OBC-NCL,Gender-Neutral,HS,1,571,974,2023
JEE Main,NIT Warangal,CSE,OBC-NCL,Gender-Neutral,OS,1,432,792,2023
JEE Main,NIT Warangal,CSE,SC,Gender-Neutral,HS,1,350,719,2023
JEE Main,NIT Warangal,CSE,SC,Gender-Neutral,OS,1,301,484,2023
JEE Main,NIT Warangal,CSE,ST,Gender-Neutral,HS,1,34,78,2023
JEE Main,NIT Warangal,CSE,ST,Gender-Neutral,OS,1,82,174,2023
JEE Main,NIT Warangal,ECE,OPEN,Gender-Neutral,HS,1,3845,6516,2023
JEE Main,NIT Warangal,ECE,OPEN,Gender-Neutral,OS,1,2776,5814,2023
JEE Main,NIT Warangal,ECE,GEN-EWS,Gender-Neutral,HS,1,763,932,2023
JEE Main,NIT Warangal,ECE,GEN-EWS,Gender-Neutral,OS,1,660,903,2023
JEE Main,NIT Warangal,ECE,OBC-NCL,Gender-Neutral,HS,1,1316,2366,2023
JEE Main,NIT Warangal,ECE,OBC-NCL,Gender-Neutral,OS,1,1437,1877,2023
JEE Main,NIT Warangal,ECE,SC,Gender-Neutral,HS,1,838,1297,2023
JEE Main,NIT Warangal,ECE,SC,Gender-Neutral,OS,1,265,1238,2023
JEE Main,NIT Warangal,ECE,ST,Gender-Neutral,HS,1,275,277,2023
JEE Main,NIT Warangal,ECE,ST,Gender-Neutral,OS,1,246,361,2023
JEE Main,NIT Warangal,EEE,OPEN,Gender-Neutral,HS,1,6879,11388,2023
JEE Main,NIT Warangal,EEE,OPEN,Gender-Neutral,OS,1,6710,9265,2023
JEE Main,NIT Warangal,MECH,OPEN,Gender-Neutral,HS,1,7179,17718,2023
JEE Main,NIT Warangal,MECH,OPEN,Gender-Neutral,OS,1,8892,15749,2023
JEE Main,NIT Warangal,CIVIL,OPEN,Gender-Neutral,HS,1,16370,32906,2023
JEE Main,NIT Warangal,CIVIL,OPEN,Gender-Neutral,OS,1,18155,28010,2023
JEE Main,NIT Warangal,CHE,OPEN,Gender-Neutral,HS,1,15975,27034,2023
JEE Main,NIT Warangal,CHE,OPEN,Gender-Neutral,OS,1,14098,20446,2023
JEE Main,NIT Warangal,BT,OPEN,Gender-Neutral,HS,1,4832,40209,2023
JEE Main,NIT Warangal,BT,OPEN,Gender-Neutral,OS,1,18854,31192,2023
NEET UG,AIIMS Delhi,MBBS,OPEN,Gender-Neutral,AI,5,56,56,2023
NEET UG,AIIMS Delhi,MBBS,GEN-EWS,Gender-Neutral,AI,5,258,258,2023
NEET UG,AIIMS Delhi,MBBS,OBC-NCL,Gender-Neutral,AI,5,255,255,2023
NEET UG,AIIMS Delhi,MBBS,SC,Gender-Neutral,AI,5,989,989,2023
NEET UG,AIIMS Delhi,MBBS,ST,Gender-Neutral,AI,5,1624,1624,2023
